card_id	card_name	rarity	image_url	attribute	atk_points	def_points	card_type	buff_effect	description
C001	見習いプランナー	N	/uploads/cards/C001.png	火	100	100	character	-	情熱だけは一人前。 燃えるようなアイデアを次々と思いつくが、 まだ形にするのはこれから。 いつか世界を驚かせる企画を生み出す日を 夢見て、今日もノートを燃やす勢いで描き 続けている。
C002	駆け出しインフルエンサー	N	/uploads/cards/C002.png	水	100	100	character	-	透き通る声とまっすぐな言葉で、 少しずつ世界に波紋を広げていく 新人クリエイター。 フォロワーはまだ少ないけれど、 その投稿には不思議と 人の心を癒やす力がある
C003	データの土台師	N	/uploads/cards/C003.png	土	100	100	character	-	華やかな作品の裏には、 彼の堅実な基盤づくりがある。 見えない部分を整え、 全てのAI創作を支える影の職人。 その手が築いたデータの大地の上で、 新しい世界が芽吹いていく。
C004	プロンプト見習い工	N	/uploads/cards/C004.png	金	100	100	character	-	言葉を叩き、磨き、整える。 AIに想いを正確に伝えるため、 今日も彼は光る槌を振るう。 まだ未熟だが、その一打には未来の 創造を変える力が宿り始めている。
C005	AIの木の導き手	N	/uploads/cards/C005.png	木	100	100	character	-	静かに芽吹きを見守る者。 AIと人の思考が交わる場所に、 彼はそっと種を植える。 言葉が根を張り、想像が花開くとき、 その森は新しい創作の息吹に満ちる。
C006	タスク・レンジャー	R	/uploads/cards/C006.png	木	150	150	character	-	森を巡る風のように、 彼はタスクを見守り整える。 乱れた進行に秩序を芽吹かせ、 仲間たちを次のステップへ導く。 静かな声に宿るのは、継続と信頼の力。 その存在は、日々の創作を支える “緑の守護者”だ。
C007	炎舞のソーシャルナイト	R	/uploads/cards/C007.png	火	150	150	character	-	情熱を剣に、言葉を炎に。 彼の一言が、タイムラインを燃やす。 笑顔と勢いで仲間を導くその姿は、 まるで希望の炎そのもの。 今日もまた、彼の投稿が人々の 心に火を灯す。
C008	リテラシーの要塞	R	/uploads/cards/C008.png	土	150	150	character	-	虚構が渦巻く情報の荒野に、 真実の砦はそびえる。 静かなる守護者は、 誤情報の波を受け止め、 正確な知を根づかせる。 揺るがぬ理性、その石壁の内にこそ、 AI時代の希望が宿る。
C009	データ構造の採掘士	R	/uploads/cards/C009.png	金	150	150	character	-	目に見えぬ情報の地層を掘り進め、 隠された秩序を見いだす者。 金色のツールが放つ一閃は、 混沌を構造へと変える光。 データの奥に眠る真理を掘り起こす、 その手はまさに知の鍛冶師だ。
C010	連携の流氷術士	R	/uploads/cards/C010.png	水	150	150	character	-	仲間の力を一つに束ね、 流れるような協調を生み出す者。 彼の指先が描く軌跡は、水のように滑らかで、 チームの動きをひとつの旋律へと変える。 静けさの奥に、無限の共鳴が宿る。
C011	AIガーデナー	SR	/uploads/cards/C011.png	木	250	250	character	-	デジタルの風を操り、発想の種を育てる 創造の庭師。彼が紡ぐそよ風は、 人とAIの心を結び、新たなアイデアを運ぶ。 静かに吹く風の中で、 創造の庭は今日も芽吹き続ける。
